frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
0,0.0,105.2548,97.1918,48.4788,170.4388,42.4549,0.0,0.0,0.892,well-exposed
2,0.1667,105.2698,97.3414,48.4788,170.8194,42.4303,0.0,0.0,0.8921,well-exposed
4,0.3333,105.2581,97.2176,48.496,170.8194,42.4197,0.0,0.0,0.892,well-exposed
6,0.5,105.2429,97.3311,48.48,170.84,42.372,0.0,0.0,0.8919,well-exposed
8,0.6667,105.1121,97.2136,48.3384,170.8652,42.3513,0.0,0.0,0.8908,well-exposed
10,0.8333,105.0742,97.2741,48.4526,170.507,42.3184,0.0,0.0,0.8905,well-exposed
12,1.0,104.9515,97.213,48.3384,170.4388,42.3312,0.0,0.0,0.8894,well-exposed
14,1.1667,104.7513,97.2084,48.2914,170.507,42.3683,0.0,0.0,0.8877,well-exposed
16,1.3333,104.2412,96.9752,46.7166,170.4388,42.7154,0.0,0.0,0.8834,well-exposed
18,1.5,103.9454,96.8509,44.9322,170.4388,43.0247,0.0,0.0,0.8809,well-exposed
20,1.6667,103.0678,96.7718,39.828,170.4108,44.2519,0.3897,0.0,0.8735,well-exposed
22,1.8333,102.5342,96.6978,37.1654,170.1752,44.9497,0.5805,0.0,0.8689,well-exposed
24,2.0,102.2335,96.495,36.4594,170.0096,45.2055,0.4705,0.0,0.8664,well-exposed
26,2.1667,101.9498,96.032,36.2911,170.0096,45.2455,0.0389,0.0,0.864,well-exposed
28,2.3333,101.7621,95.2268,37.7546,170.0096,45.0036,0.0006,0.0,0.8624,well-exposed
30,2.5,104.3514,97.3239,41.4606,173.7248,44.9887,0.0003,0.0,0.8843,well-exposed
32,2.6667,107.3101,99.9844,43.8204,177.0096,45.4704,0.0,0.0,0.9094,well-exposed
34,2.8333,110.4042,102.362,47.083,181.0778,45.5502,0.0,0.0,0.9356,well-exposed
36,3.0,114.2948,106.4222,51.0554,185.0096,45.6343,0.0,0.0003,0.9686,well-exposed
38,3.1667,116.7537,108.7752,53.4078,187.7248,45.8505,0.0,0.0021,0.9894,well-exposed
40,3.3333,117.9916,109.6332,54.6933,188.7248,45.7983,0.0,0.0024,0.9999,well-exposed
42,3.5,118.2553,109.4996,55.6382,188.7248,45.6051,0.0,0.0024,1.0022,well-exposed
44,3.6667,117.8874,109.4852,55.8702,188.7248,45.4041,0.0,0.0045,0.999,well-exposed
46,3.8333,117.5806,109.1604,55.7258,188.7248,45.1791,0.0,0.0096,0.9964,well-exposed
48,4.0,117.4891,109.3506,56.2182,187.7248,44.7647,0.0,0.0027,0.9957,well-exposed
50,4.1667,117.0602,109.4901,56.4452,186.4818,44.462,0.0,0.0027,0.992,well-exposed
52,4.3333,113.98,106.5666,54.496,180.7288,43.8756,0.0,0.0015,0.9659,well-exposed
54,4.5,110.5952,102.5758,51.968,175.2262,43.4248,0.0,0.0,0.9372,well-exposed
56,4.6667,109.7273,101.558,51.4091,173.2262,43.3049,0.0,0.0,0.9299,well-exposed
58,4.8333,109.3006,101.1408,51.5092,173.2262,43.2218,0.0,0.0,0.9263,well-exposed
60,5.0,109.1869,100.8456,51.257,174.2262,43.3374,0.0,0.0,0.9253,well-exposed
62,5.1667,109.3012,100.9196,50.837,175.2262,43.3034,0.0,0.0,0.9263,well-exposed
64,5.3333,108.7649,100.2726,50.3344,175.2262,43.3581,0.0,0.0,0.9217,well-exposed
66,5.5,107.59,98.2996,49.7166,174.2262,43.302,0.0,0.0,0.9118,well-exposed
68,5.6667,106.7102,96.2755,48.4788,174.2262,43.443,0.0003,0.0,0.9043,well-exposed
70,5.8333,105.7663,95.1604,47.9464,173.2262,43.3951,0.0,0.0,0.8963,well-exposed
72,6.0,105.4362,94.7752,47.7848,173.2262,43.4314,0.0,0.0,0.8935,well-exposed
74,6.1667,105.6848,95.5706,47.8634,173.2262,43.396,0.0,0.0,0.8956,well-exposed
76,6.3333,105.8949,96.4222,48.013,173.2262,43.3305,0.0,0.0,0.8974,well-exposed
78,6.5,106.2097,97.2136,48.5458,173.2262,43.1075,0.0,0.0,0.9001,well-exposed
80,6.6667,106.5088,97.7156,49.2308,173.2262,42.8897,0.0,0.0,0.9026,well-exposed
82,6.8333,106.6542,98.213,49.6404,173.2262,42.7812,0.0,0.0,0.9038,well-exposed
84,7.0,106.7652,98.5672,49.7688,173.2262,42.7119,0.0,0.0,0.9048,well-exposed
86,7.1667,106.7453,98.48,49.656,173.2262,42.74,0.0,0.0,0.9046,well-exposed
88,7.3333,106.7266,98.491,49.656,173.2262,42.7238,0.0,0.0,0.9045,well-exposed
90,7.5,106.62,98.425,49.6681,173.2262,42.7227,0.0,0.0,0.9036,well-exposed
92,7.6667,106.6514,98.6244,49.5734,173.2262,42.7256,0.0,0.0,0.9038,well-exposed
94,7.8333,106.6557,98.7018,49.7178,173.2262,42.6757,0.0,0.0,0.9039,well-exposed
96,8.0,106.7935,99.0108,49.954,173.2262,42.5501,0.0,0.0,0.905,well-exposed
98,8.1667,106.9185,99.1256,50.19,173.3706,42.4911,0.0,0.0,0.9061,well-exposed
100,8.3333,106.9017,99.1328,50.19,173.2262,42.4972,0.0,0.0,0.9059,well-exposed
102,8.5,106.9545,99.2634,50.214,173.7248,42.5083,0.0,0.0,0.9064,well-exposed
104,8.6667,106.9654,99.2852,50.2048,173.2262,42.5012,0.0,0.0,0.9065,well-exposed
106,8.8333,106.9369,99.3663,50.19,173.5804,42.527,0.0,0.0,0.9062,well-exposed
108,9.0,106.9523,99.3663,49.9882,173.4034,42.5189,0.0,0.0,0.9064,well-exposed
110,9.1667,106.9656,99.4228,50.0604,173.3706,42.4996,0.0,0.0,0.9065,well-exposed
112,9.3333,106.9614,99.4228,50.038,173.3902,42.5088,0.0,0.0,0.9065,well-exposed
114,9.5,106.8769,99.289,49.837,173.2262,42.5416,0.0,0.0,0.9057,well-exposed
116,9.6667,106.913,99.3472,49.9814,173.2262,42.5231,0.0,0.0,0.906,well-exposed
118,9.8333,106.9147,99.291,49.9814,173.2262,42.5307,0.0,0.0,0.9061,well-exposed
120,10.0,106.9139,99.4228,49.9882,173.2262,42.5221,0.0,0.0,0.906,well-exposed
122,10.1667,106.9475,99.3626,50.0228,173.2262,42.5224,0.0,0.0,0.9063,well-exposed
124,10.3333,106.9529,99.4222,50.0604,173.2262,42.5193,0.0,0.0,0.9064,well-exposed
126,10.5,106.9642,99.4222,50.1472,173.2262,42.5102,0.0,0.0,0.9065,well-exposed
128,10.6667,106.9962,99.4228,50.123,173.2262,42.496,0.0,0.0,0.9067,well-exposed
130,10.8333,107.0352,99.4351,50.1478,173.2262,42.483,0.0,0.0,0.9071,well-exposed
132,11.0,107.0224,99.4228,49.9882,173.5552,42.4776,0.0,0.0,0.907,well-exposed
134,11.1667,107.0147,99.4984,49.9814,173.5006,42.4917,0.0,0.0,0.9069,well-exposed
136,11.3333,106.9899,99.4228,49.9448,173.2758,42.5382,0.0,0.0,0.9067,well-exposed
138,11.5,106.8815,99.2852,49.8204,173.2262,42.5688,0.0,0.0,0.9058,well-exposed
140,11.6667,106.9365,99.2852,49.9094,173.2262,42.5477,0.0,0.0,0.9062,well-exposed
142,11.8333,106.9389,99.2861,49.837,173.2262,42.5516,0.0,0.0,0.9063,well-exposed
144,12.0,106.9084,99.287,49.789,173.2262,42.5643,0.0,0.0,0.906,well-exposed
146,12.1667,106.9461,99.4222,49.908,173.2262,42.5504,0.0,0.0,0.9063,well-exposed
148,12.3333,106.995,99.3368,49.9354,173.2486,42.5709,0.0,0.0,0.9067,well-exposed
150,12.5,106.9722,99.3484,49.908,173.2262,42.5868,0.0,0.0,0.9065,well-exposed
152,12.6667,106.9694,99.2812,49.8652,173.492,42.5819,0.0,0.0,0.9065,well-exposed
154,12.8333,107.0284,99.4228,49.9814,173.2486,42.5585,0.0,0.0,0.907,well-exposed
156,13.0,106.9429,99.2377,49.8306,173.2262,42.6002,0.0,0.0,0.9063,well-exposed
158,13.1667,106.9992,99.2772,49.9224,173.2262,42.5649,0.0,0.0,0.9068,well-exposed
160,13.3333,107.0031,99.2996,49.9454,173.2262,42.5532,0.0,0.0,0.9068,well-exposed
162,13.5,106.9701,99.3362,49.908,173.2262,42.5608,0.0,0.0,0.9065,well-exposed
164,13.6667,106.9226,99.2772,49.837,173.2262,42.5587,0.0,0.0,0.9061,well-exposed
166,13.8333,106.8665,99.2268,49.837,173.2802,42.5581,0.0,0.0,0.9056,well-exposed
168,14.0,106.7837,99.083,49.68,173.2262,42.5482,0.0,0.0,0.9049,well-exposed
170,14.1667,106.8175,99.2634,49.7288,173.2262,42.5395,0.0,0.0,0.9052,well-exposed
172,14.3333,106.7253,99.0824,49.6404,173.2262,42.5944,0.0,0.0,0.9045,well-exposed
174,14.5,106.4445,98.7087,49.3488,173.2262,42.685,0.0,0.0,0.9021,well-exposed
176,14.6667,106.2479,98.4314,49.1378,173.6434,42.7736,0.0,0.0,0.9004,well-exposed
178,14.8333,105.4706,98.1804,46.7248,173.2394,43.6691,0.0,0.0,0.8938,well-exposed
180,15.0,104.2096,98.036,41.2822,173.2222,45.1867,0.0036,0.0,0.8831,well-exposed
182,15.1667,103.7087,98.1288,36.7166,173.2222,45.9091,0.0009,0.0,0.8789,well-exposed
184,15.3333,103.1972,98.3484,29.6904,173.2222,46.7055,0.0148,0.0,0.8746,well-exposed
186,15.5,103.1673,99.1288,26.8437,172.7248,46.8498,0.019,0.0,0.8743,well-exposed
188,15.6667,103.1713,99.1328,26.6864,172.7248,46.8012,0.0229,0.0,0.8743,well-exposed
190,15.8333,103.0803,98.7182,27.773,172.7248,46.7366,0.0512,0.0,0.8736,well-exposed
192,16.0,102.9914,97.9232,30.252,172.6004,46.4628,0.0268,0.0,0.8728,well-exposed
194,16.1667,103.1389,97.3466,32.067,172.7248,46.2845,0.0181,0.0,0.8741,well-exposed
196,16.3333,103.5088,97.2044,34.5082,173.5804,46.0196,0.0078,0.0,0.8772,well-exposed
198,16.5,105.757,98.652,37.7758,176.4108,46.2911,0.0039,0.0,0.8962,well-exposed
200,16.6667,106.1981,98.5611,39.7116,177.3626,46.1744,0.0012,0.0,0.9,well-exposed
202,16.8333,106.9864,98.9064,41.079,178.0096,46.1591,0.0009,0.0,0.9067,well-exposed
204,17.0,107.3505,98.2354,43.143,179.7248,46.1399,0.0003,0.0,0.9097,well-exposed
206,17.1667,107.509,97.9838,44.374,180.0778,46.134,0.0,0.0,0.9111,well-exposed
208,17.3333,107.772,98.1604,45.7298,180.0778,45.8769,0.0,0.0,0.9133,well-exposed
210,17.5,107.9652,98.4206,46.0056,180.1134,45.741,0.0,0.0,0.915,well-exposed
212,17.6667,108.0497,98.6686,46.1258,180.2222,45.6191,0.0,0.0,0.9157,well-exposed
214,17.8333,108.2142,99.4228,46.2284,180.7248,45.6469,0.0,0.0,0.9171,well-exposed
216,18.0,108.3614,100.064,46.8192,180.7248,45.622,0.0,0.0,0.9183,well-exposed
218,18.1667,108.3881,100.1346,46.7442,180.7248,45.5921,0.0,0.0,0.9185,well-exposed
220,18.3333,107.9244,100.0584,46.9464,179.8904,45.3801,0.0,0.0,0.9146,well-exposed
222,18.5,107.4301,99.5248,47.013,179.7248,45.3702,0.0,0.0,0.9104,well-exposed
224,18.6667,106.9263,99.2772,47.0891,178.0096,44.9694,0.0,0.0,0.9062,well-exposed
226,18.8333,106.3994,99.1328,46.496,177.0096,44.8554,0.0,0.0,0.9017,well-exposed
228,19.0,105.9224,98.4858,46.08,175.797,44.7493,0.0,0.0,0.8976,well-exposed
230,19.1667,105.5245,98.48,46.1012,174.813,44.5441,0.0,0.0,0.8943,well-exposed
232,19.3333,105.6378,98.5574,46.496,174.797,44.3501,0.0,0.0,0.8952,well-exposed
234,19.5,105.6111,98.152,46.7258,174.7695,44.1087,0.0,0.0,0.895,well-exposed
236,19.6667,105.9039,98.393,46.4474,174.616,43.9257,0.0,0.0,0.8975,well-exposed
238,19.8333,106.4149,99.2634,46.7373,174.5804,43.6716,0.0,0.0,0.9018,well-exposed
240,20.0,106.9848,99.8652,48.4382,174.5804,43.2922,0.0,0.0,0.9067,well-exposed
242,20.1667,107.3631,100.3048,48.9814,174.5804,43.1362,0.0,0.0,0.9099,well-exposed
244,20.3333,107.589,100.4978,49.48,174.5804,43.0704,0.0,0.0,0.9118,well-exposed
246,20.5,107.7531,100.5706,49.9814,174.5804,42.9563,0.0,0.0,0.9132,well-exposed
248,20.6667,107.8259,100.6354,49.9814,174.797,42.9476,0.0,0.0,0.9138,well-exposed
