frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
0,0.0,29.4223,26.655,12.6194,48.8636,12.6662,0.0467,0.0,0.2493,very dark
2,0.1667,29.4081,26.714,12.6194,48.8636,12.6524,0.0422,0.0,0.2492,very dark
4,0.3333,29.4027,26.714,12.6194,48.8636,12.6481,0.0401,0.0,0.2492,very dark
6,0.5,29.3939,26.7662,12.6194,48.8636,12.6361,0.0368,0.0,0.2491,very dark
8,0.6667,29.3788,26.8636,12.6194,48.8636,12.6254,0.0374,0.0,0.249,very dark
10,0.8333,29.3588,26.8636,12.6194,48.8636,12.6164,0.0371,0.0,0.2488,very dark
12,1.0,29.31,26.5026,12.4842,48.8636,12.6148,0.0609,0.0,0.2484,very dark
14,1.1667,29.2481,26.4974,12.408,48.8636,12.6149,0.0491,0.0,0.2479,very dark
16,1.3333,29.1173,26.4974,12.118,48.8636,12.7102,0.1365,0.0,0.2468,very dark
18,1.5,29.0374,26.4974,11.412,48.8636,12.8109,0.2233,0.0,0.2461,very dark
20,1.6667,29.4292,27.655,10.2756,49.2998,14.4741,1.4012,0.0,0.2494,very dark
22,1.8333,29.2912,27.4854,9.1444,49.353,14.6186,2.4281,0.0,0.2482,very dark
24,2.0,29.0527,26.9828,9.349,49.361,14.9247,2.9779,0.0,0.2462,very dark
26,2.1667,28.8727,26.4974,8.8624,48.8746,14.8621,3.2935,0.0,0.2447,very dark
28,2.3333,28.7917,26.408,9.349,49.2206,14.8704,2.8998,0.0,0.244,very dark
30,2.5,29.3737,26.9828,10.1444,49.6274,14.81,2.3025,0.0,0.2489,very dark
32,2.6667,30.2308,27.4854,10.9146,51.2888,14.947,1.545,0.0,0.2562,very dark
34,2.8333,31.1546,28.1352,11.773,52.2888,14.9853,0.9259,0.0,0.264,very dark
36,3.0,32.4593,29.6928,13.0,53.361,14.988,0.4066,0.0,0.2751,very dark
38,3.1667,33.3453,31.408,13.9828,54.361,15.9306,0.1549,0.0,0.2826,very dark
40,3.3333,33.3718,30.9226,13.7822,54.361,14.9729,0.0241,0.0,0.2828,very dark
42,3.5,33.4436,30.6418,13.9828,54.361,14.9544,0.0133,0.0,0.2834,very dark
44,3.6667,33.3497,30.6418,14.071,54.361,14.9012,0.0081,0.0,0.2826,very dark
46,3.8333,33.2584,30.6418,14.071,54.361,14.7398,0.0042,0.0,0.2819,very dark
48,4.0,33.3473,30.9828,14.6968,53.8636,14.6865,0.0015,0.0,0.2826,very dark
50,4.1667,33.0483,30.9828,14.7558,53.4424,14.0981,0.0024,0.0,0.2801,very dark
52,4.3333,32.3085,30.1444,14.122,51.9542,14.24,0.0039,0.0,0.2738,very dark
54,4.5,31.3806,28.6206,13.4842,50.2258,14.1829,0.0452,0.0003,0.2659,very dark
56,4.6667,31.1717,28.4842,13.361,49.4854,14.3033,0.1814,0.0,0.2642,very dark
58,4.8333,31.0166,28.2166,13.4842,49.361,14.1134,0.2167,0.0,0.2629,very dark
60,5.0,31.0822,27.9266,13.2166,50.5788,14.607,0.2619,0.0,0.2634,very dark
62,5.1667,30.9302,27.9266,13.122,50.5788,14.245,0.258,0.0,0.2621,very dark
64,5.3333,30.871,27.8636,13.122,50.5788,14.2661,0.2523,0.0,0.2616,very dark
66,5.5,30.6122,27.408,13.122,50.5788,14.2407,0.2547,0.0,0.2594,very dark
68,5.6667,30.4521,27.0836,12.8492,50.5788,14.383,0.3529,0.0003,0.2581,very dark
70,5.8333,30.1797,26.659,12.4842,50.5788,14.3576,0.378,0.0,0.2558,very dark
72,6.0,29.9053,26.408,12.361,50.2258,14.4626,0.3897,0.0,0.2534,very dark
74,6.1667,29.9349,26.5916,12.4842,50.2258,14.3434,0.2972,0.0,0.2537,very dark
76,6.3333,29.8227,26.9828,12.4842,50.2258,13.7703,0.2267,0.0,0.2527,very dark
78,6.5,29.6999,26.9828,12.6194,49.361,12.8233,0.1094,0.0,0.2517,very dark
80,6.6667,29.7706,26.9828,12.8636,49.361,12.7635,0.0488,0.0,0.2523,very dark
82,6.8333,29.803,26.9828,13.0458,49.361,12.7334,0.0392,0.0,0.2526,very dark
84,7.0,29.8488,27.2166,13.0458,49.361,12.724,0.0461,0.0,0.253,very dark
86,7.1667,29.84,27.1352,13.0458,49.361,12.717,0.0374,0.0,0.2529,very dark
88,7.3333,29.842,27.2166,13.0458,49.361,12.7148,0.0323,0.0,0.2529,very dark
90,7.5,29.8395,27.1352,13.0458,49.9542,12.718,0.0295,0.0,0.2529,very dark
92,7.6667,29.8313,27.1352,13.0458,49.361,12.7163,0.0295,0.0,0.2528,very dark
94,7.8333,29.823,27.2166,13.0458,49.361,12.7098,0.0289,0.0,0.2527,very dark
96,8.0,29.8543,27.3358,13.118,49.361,12.6773,0.0389,0.0,0.253,very dark
98,8.1667,29.8556,27.2166,13.118,49.361,12.6665,0.0374,0.0,0.253,very dark
100,8.3333,29.8602,27.2206,13.118,49.361,12.6552,0.0316,0.0,0.2531,very dark
102,8.5,29.8618,27.2206,13.118,49.361,12.6548,0.0316,0.0,0.2531,very dark
104,8.6667,29.8627,27.2166,13.118,49.361,12.6538,0.0316,0.0,0.2531,very dark
106,8.8333,29.8615,27.2166,13.118,49.361,12.6555,0.0316,0.0,0.2531,very dark
108,9.0,29.8953,27.3358,13.118,49.361,12.6559,0.0316,0.0,0.2533,very dark
110,9.1667,29.8781,27.3358,13.118,49.361,12.6628,0.0298,0.0,0.2532,very dark
112,9.3333,29.8771,27.3358,13.118,49.361,12.6579,0.0301,0.0,0.2532,very dark
114,9.5,29.8757,27.2756,13.118,49.361,12.6578,0.0271,0.0,0.2532,very dark
116,9.6667,29.8739,27.3358,13.0458,49.361,12.6576,0.0271,0.0,0.2532,very dark
