sequence,frame,trans_px,rot_deg,zoom_abs,inliers,features
Basketball,2,0.828,0.0333,0.00124,517,517
Basketball,3,0.898,0.0496,0.00137,503,503
Basketball,4,0.909,0.0401,0.00141,497,497
Basketball,5,1.005,0.0068,0.00115,484,484
Basketball,6,1.000,0.0208,0.00086,477,477
Basketball,7,1.361,0.0019,0.00188,468,468
Basketball,8,1.263,0.0013,0.00153,467,467
Basketball,9,1.238,0.0009,0.00164,464,464
Basketball,10,1.073,0.0399,0.00136,460,460
Basketball,11,1.205,0.0012,0.00160,457,457
Basketball,12,1.221,0.0232,0.00157,455,455
Basketball,13,1.313,0.0076,0.00153,453,453
Basketball,14,1.330,0.0185,0.00156,450,450
Basketball,15,1.302,0.0187,0.00140,436,436
Basketball,16,1.104,0.0436,0.00100,428,428
Basketball,17,0.852,0.0217,0.00056,422,422
Basketball,18,0.927,0.0349,0.00074,418,418
Basketball,19,1.032,0.0266,0.00128,414,414
Basketball,20,1.010,0.0529,0.00083,412,412
Basketball,21,0.980,0.0009,0.00111,411,411
Basketball,22,0.915,0.0368,0.00068,409,409
Basketball,23,1.026,0.0604,0.00100,407,407
Basketball,24,1.064,0.0176,0.00104,402,402
Basketball,25,1.073,0.0517,0.00111,399,517
Basketball,26,1.217,0.0758,0.00112,457,457
Basketball,27,1.170,0.0248,0.00110,442,442
Basketball,28,1.112,0.0346,0.00108,438,438
Basketball,29,1.009,0.0362,0.00093,433,433
Basketball,30,0.891,0.0313,0.00062,432,432
Basketball,31,0.952,0.0093,0.00107,430,430
Basketball,32,0.984,0.0334,0.00091,430,430
Basketball,33,0.791,0.0180,0.00082,427,427
Basketball,34,0.851,0.0165,0.00086,426,426
Basketball,35,0.865,0.0117,0.00092,423,423
Basketball,36,1.105,0.0374,0.00106,421,421
Basketball,37,0.875,0.0240,0.00070,418,418
Basketball,38,0.968,0.0373,0.00079,417,417
Basketball,39,0.923,0.0263,0.00068,414,414
Basketball,40,1.035,0.0446,0.00076,411,411
Basketball,41,1.050,0.0463,0.00076,406,406
Basketball,42,1.047,0.0347,0.00062,404,404
Basketball,43,0.859,0.0281,0.00056,402,402
Basketball,44,0.999,0.0387,0.00072,401,401
Basketball,45,1.035,0.0242,0.00071,401,401
Basketball,46,0.952,0.0270,0.00049,400,400
Basketball,47,1.130,0.0285,0.00089,400,400
Basketball,48,1.061,0.0255,0.00069,394,517
Basketball,49,1.109,0.0316,0.00092,491,491
Basketball,50,0.869,0.0085,0.00069,481,481
Basketball,51,1.148,0.0129,0.00093,478,478
Basketball,52,0.881,0.0290,0.00080,475,475
Basketball,53,0.773,0.0309,0.00053,472,472
Basketball,54,0.745,0.0362,0.00057,470,470
Basketball,55,0.865,0.0416,0.00073,470,470
Basketball,56,0.879,0.0314,0.00082,469,469
Basketball,57,0.925,0.0488,0.00074,467,467
Basketball,58,0.751,0.0326,0.00049,464,464
Basketball,59,0.732,0.0072,0.00040,462,462
Basketball,60,0.938,0.0305,0.00068,455,455
Basketball,61,0.788,0.0109,0.00034,449,449
Basketball,62,0.974,0.0254,0.00063,446,446
Basketball,63,0.902,0.0144,0.00062,444,444
Basketball,64,0.689,0.0355,0.00045,437,437
Basketball,65,0.666,0.0416,0.00038,433,433
Basketball,66,0.778,0.0441,0.00056,431,431
Basketball,67,0.743,0.0375,0.00034,429,429
Basketball,68,0.743,0.0361,0.00047,429,429
Basketball,69,0.875,0.0722,0.00059,427,427
Basketball,70,0.727,0.0276,0.00029,426,426
Basketball,71,0.844,0.0631,0.00051,424,424
Basketball,72,1.019,0.0799,0.00060,422,422
Basketball,73,1.000,0.0864,0.00048,418,418
Basketball,74,1.280,0.1137,0.00047,416,416
Basketball,75,1.582,0.1422,0.00085,410,410
Basketball,76,1.566,0.1484,0.00086,406,406
Basketball,77,1.705,0.1679,0.00053,404,404
Basketball,78,1.892,0.1802,0.00085,400,400
Basketball,79,2.586,0.2558,0.00086,397,472
Basketball,80,3.163,0.2001,0.00078,443,443
Basketball,81,3.539,0.2555,0.00081,434,434
Basketball,82,3.769,0.2904,0.00087,426,426
Basketball,83,4.031,0.0314,0.00013,385,443
Basketball,84,4.671,0.0858,0.00015,366,447
Basketball,85,5.465,0.5940,0.00053,357,433
Basketball,86,5.135,0.0743,0.00001,351,420
Basketball,87,6.135,0.8480,0.00096,336,421
Basketball,88,5.507,0.0750,0.00011,337,418
Basketball,89,5.674,0.0641,0.00010,331,450
Basketball,90,6.710,0.8785,0.00049,351,425
Basketball,91,7.121,0.7617,0.00020,337,413
Basketball,92,6.774,0.0951,0.00012,332,389
Basketball,93,7.226,0.0827,0.00011,296,385
Basketball,94,7.696,0.0714,0.00004,293,382
Basketball,95,8.133,0.1088,0.00035,280,383
Basketball,96,8.644,0.0972,0.00007,275,374
Basketball,97,8.932,0.0888,0.00027,275,369
Basketball,98,9.213,0.0619,0.00004,272,370
Basketball,99,9.504,0.0894,0.00043,264,372
Basketball,100,10.286,0.0665,0.00021,262,370
Basketball,101,10.902,0.0912,0.00001,254,391
Basketball,102,11.115,0.0807,0.00035,278,371
Basketball,103,11.605,0.0637,0.00012,254,361
Basketball,104,14.344,2.0355,0.00016,245,352
Basketball,105,11.945,0.0881,0.00006,242,358
Basketball,106,12.060,0.0987,0.00008,244,344
Basketball,107,12.464,0.1094,0.00004,238,327
Basketball,108,15.925,2.1511,0.00012,231,321
Basketball,109,12.698,0.0925,0.00003,218,322
Basketball,110,12.821,0.0868,0.00000,214,319
Basketball,111,12.828,0.0814,0.00040,219,306
Basketball,112,12.946,0.0844,0.00054,217,296
Basketball,113,13.374,0.1002,0.00011,207,319
Basketball,114,13.199,0.0952,0.00020,227,294
Basketball,115,13.562,0.0821,0.00006,189,290
Basketball,116,16.619,2.3934,0.00068,192,283
Basketball,117,13.470,0.0754,0.00009,191,269
