sequence,frames,motion_frames,mean_iou,trans_px_mean,trans_px_p95,rot_deg_mean,zoom_abs_mean,jerk_px_mean,inlier_frac_mean
Basketball,725,724,0.6235,3.1332,10.4644,0.1353,0.0005,0.3282,0.9115
Biker,142,141,0.2567,0.0805,0.2850,0.0096,0.0001,0.0544,0.9972
Bird2,99,98,0.5755,7.4139,21.9178,0.5224,0.0094,8.5153,0.4600
BlurBody,334,333,0.6863,24.0660,52.0203,0.8324,0.0064,16.3116,0.5804
BlurCar2,585,584,0.8554,18.5449,39.3751,0.3057,0.0036,16.1819,0.8476
BlurFace,493,492,0.7603,34.7287,68.1259,1.3572,0.0048,23.9885,0.7693
BlurOwl,631,630,0.7409,25.2564,63.9241,0.7675,0.0107,22.8318,0.4215
Bolt,350,349,0.6710,7.3072,20.2123,0.1430,0.0028,3.5318,0.6094
Box,1161,1160,0.2948,0.0952,0.3235,0.0110,0.0001,0.0692,0.9378
Car1,1020,1019,0.5151,2.1357,4.2394,0.3816,0.0107,0.8278,0.9241
Car4,659,658,0.8634,2.3823,3.7477,0.2301,0.0136,1.3883,0.9192
CarDark,393,392,0.8790,2.1817,3.2024,0.1842,0.0111,0.8015,0.9374
CarScale,252,251,0.6369,6.7712,19.4003,0.1032,0.0024,0.8240,0.8772
ClifBar,472,471,0.2371,0.3884,0.9622,0.1166,0.0023,0.2053,0.9141
Couple,140,139,0.5819,10.8112,26.2297,1.0774,0.0035,12.3433,0.8759
Crowds,347,346,0.6263,0.1050,0.2430,0.0114,0.0002,0.0963,0.9652
David,471,769,0.2441,4.4468,9.5532,0.5141,0.0076,2.9920,0.8762
Deer,71,70,0.7814,25.2224,54.9204,1.6362,0.0106,14.6594,0.1809
Dudek,1145,1144,0.7917,2.8358,8.8341,0.1159,0.0017,1.0149,0.8799
Football,362,361,0.6979,2.7273,6.7845,0.3662,0.0025,2.3376,0.7679
Freeman4,283,296,0.1304,0.3814,0.8531,0.0661,0.0007,0.3358,0.8029
Girl,500,499,0.6132,1.8970,4.9957,0.6896,0.0113,1.4010,0.9150
Human6,792,791,0.2314,6.5921,15.7897,0.0541,0.0020,3.9937,0.9283
Ironman,166,165,0.0868,15.1349,26.1364,0.7508,0.0100,16.6844,0.3629
Jump,122,121,0.0526,3.5640,8.4891,0.0726,0.0075,0.4529,0.8743
Jumping,313,312,0.7071,4.1241,9.4302,0.0961,0.0004,2.5520,0.8468
Liquor,1741,1740,0.7202,0.1183,0.3603,0.0159,0.0002,0.0984,0.9390
Matrix,100,99,0.0937,252.1641,567.0682,6.7045,0.1433,402.8566,0.2186
MotorRolling,164,163,0.0870,7.8439,17.6398,1.1347,0.0065,1.9449,0.8228
Shaking,365,364,0.6474,2.7157,7.7651,0.1627,0.0024,1.8301,0.7976
Skiing,81,80,0.0608,5.4562,15.9388,0.1213,0.0004,2.0364,0.9602
