sequence,frames,mean_iou_yolo,success_auc_yolo,success_at_50_yolo,precision_yolo,mean_cerr_yolo,ceiling_iou_yolo,mean_iou_csrt,success_at_50_csrt,csrt_fps,object_type,object_category,primary_challenge,secondary_challenge,num_frames,difficulty,notes,trans_px_mean,trans_px_p95,rot_deg_mean,zoom_abs_mean,jerk_px_mean,inlier_frac_mean,silhouette_complexity,convex_hull_ratio,texture_entropy,color_entropy,edge_density,fg_bg_contrast,tier_yolo,tier_csrt,disagreement,csrt_first_loss_frame,csrt_frac_before_loss,knee_motion_blur,fragility_labels
Basketball,725.0,0.0088594417758845,0.0556321839080459,0.0082758620689655,0.016551724137931,11.16517640437493,0.3729070587331622,0.6235,0.8759,72.13,person,person,background_clutter,fast_motion,725,hard,Multiple players; target switches,3.1332,10.4644,0.1353,0.0005,0.3282,0.9115,15.9127,1.0334,3.9852,5.2137,0.1812,0.932,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,15.0,motion_blur-fragile
Biker,142.0,0.0229854973866465,0.0516431924882629,0.0,0.0,83.7192181255335,0.0415645969258189,0.2567,0.2535,88.25,person,person,occlusion,scale_variation,142,medium,Biker behind obstacles,0.0805,0.285,0.0096,0.0001,0.0544,0.9972,,,4.6292,5.8363,0.3029,,FAILURE,FAILURE,,67.0,0.47183098591549294,,
Bird2,99.0,0.0522467024262017,0.0957190957190957,0.0707070707070707,0.0707070707070707,18.26315941113078,0.3268894272745914,0.5755,0.5354,72.64,animal,bird,fast_motion,out_of_view,99,hard,Small fast-moving bird,7.4139,21.9178,0.5224,0.0094,8.5153,0.46,42.4155,0.809,2.9537,4.1404,0.138,0.5551,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
BlurBody,334.0,0.8134141023326595,0.7981180496150557,0.9700598802395208,0.9281437125748504,6.712670148932557,0.8176617598964271,0.6863,0.997,46.89,person,person,motion_blur,fast_motion,334,medium,Deliberate motion blur sequence,24.066,52.0203,0.8324,0.0064,16.3116,0.5804,39.0933,0.8644,2.2057,5.0828,0.0629,0.7124,SUCCESS,SUCCESS,,,1.0,,
BlurCar2,585.0,0.7916830757865921,0.7771265771265771,0.9948717948717948,0.9931623931623932,3.951053952990432,0.7927674249408918,0.8554,1.0,50.87,vehicle,car,motion_blur,fast_motion,585,medium,Blurred car at speed,18.5449,39.3751,0.3057,0.0036,16.1819,0.8476,18.3266,0.9967,3.8006,3.7015,0.1492,0.3776,SUCCESS,SUCCESS,,,1.0,,
BlurFace,493.0,0.1239796015934243,0.1448855404230657,0.0,0.1034482758620689,45.90251694981093,0.1239796015934243,0.7603,1.0,55.38,face,person,motion_blur,low_resolution,493,hard,Face blur — not a COCO class,34.7287,68.1259,1.3572,0.0048,23.9885,0.7693,24.8113,1.5789,3.1267,3.347,0.0925,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
BlurOwl,631.0,0.0005073979947961,0.0479963776318768,0.0,0.0,61.32503986457936,0.038736372925801,0.7409,0.9826,60.17,animal,bird,motion_blur,illumination,631,hard,Blurred owl — partial COCO class,25.2564,63.9241,0.7675,0.0107,22.8318,0.4215,32.0063,0.8341,3.9453,6.0435,0.1455,0.7226,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
Bolt,350.0,5.801986393931506e-06,0.0476190476190476,0.0,0.0,188.5867297603551,0.1161459269630979,0.6709,0.9886,73.7,person,person,fast_motion,motion_blur,350,hard,Sprinting athlete; very fast,7.3072,20.2123,0.143,0.0028,3.5318,0.6094,,,3.5425,6.2845,0.244,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
Box,1161.0,0.0031737446141474,0.0500799803125384,0.0,0.0,173.41374941334223,0.0247754971314563,0.2948,0.3712,59.6,object,misc,illumination,occlusion,1161,hard,Box object — not a COCO class,0.0952,0.3235,0.011,0.0001,0.0692,0.9378,15.608,1.5083,3.4023,5.8432,0.1573,0.6612,FAILURE,FAILURE,,484.0,0.4168819982773471,,
Car1,1020.0,0.4776565398617347,0.488608776844071,0.5911764705882353,0.5911764705882353,1.4101972033752452,0.4785467640079233,0.5151,0.401,76.55,vehicle,car,scale_variation,illumination,1020,easy,Highway car; clean background,2.1357,4.2394,0.3816,0.0107,0.8278,0.9241,,,3.9922,-0.0,0.2223,,PARTIAL,SUCCESS,,,1.0,,
