sequence,frame,box_kind,iou,silhouette_complexity,convex_hull_ratio,texture_entropy,color_entropy,edge_density,fg_bg_contrast
Basketball,1,gt,1.0000,15.9127,1.0334,3.9852,5.2137,0.1812,0.9320
Basketball,16,pred,0.5895,NaN,NaN,4.2340,5.3107,0.2016,NaN
Basketball,31,pred,0.6548,17.4377,1.0168,3.7112,5.4228,0.0975,0.9378
Basketball,46,pred,0.6959,NaN,NaN,4.1448,5.5349,0.1530,NaN
Basketball,61,pred,0.6076,NaN,NaN,4.1163,5.6410,0.1620,NaN
Basketball,76,pred,0.6201,NaN,NaN,4.0297,5.4739,0.1519,NaN
Basketball,91,pred,0.8451,NaN,NaN,4.1356,5.1820,0.1566,NaN
Basketball,106,pred,0.9146,NaN,NaN,4.3382,5.4709,0.1918,NaN
Basketball,121,pred,0.8895,19.4776,1.2165,3.8961,5.1329,0.1437,NaN
Basketball,136,pred,0.7593,27.0056,0.8871,3.9272,5.1413,0.1417,0.7389
Basketball,151,pred,0.8895,14.5249,1.0402,4.1201,5.5085,0.1715,0.5934
Basketball,166,pred,0.6785,12.0546,1.2509,3.8372,5.6656,0.1306,0.7277
Basketball,181,pred,0.6492,23.3713,0.8967,3.8385,5.5819,0.1240,0.7439
Basketball,196,pred,0.6785,30.2521,0.8112,4.1212,5.1247,0.1592,0.5827
Basketball,211,pred,0.6785,NaN,NaN,3.9768,4.8837,0.1498,NaN
Basketball,226,pred,0.5720,28.8581,0.8980,3.9699,4.2103,0.1308,0.6196
Basketball,241,pred,0.5961,26.8048,0.8718,3.7772,4.6595,0.1333,0.7191
Basketball,256,pred,0.5961,22.7703,0.9202,3.8518,4.8945,0.1333,0.6706
Basketball,271,pred,0.5961,25.7095,0.8958,3.8701,4.9163,0.1422,0.8001
Basketball,286,pred,0.5961,NaN,NaN,4.2018,5.4597,0.1816,NaN
Basketball,301,pred,0.4845,24.3998,0.9237,3.8803,5.0571,0.1481,0.7200
Basketball,316,pred,0.5279,26.9470,0.9511,3.3274,4.5872,0.0910,0.7106
Basketball,331,pred,0.5279,20.9119,0.9431,3.9776,5.3094,0.1357,0.7122
Basketball,346,pred,0.5279,20.1569,0.9491,3.8677,5.3426,0.1434,0.7240
Basketball,361,pred,0.4668,24.5310,0.9383,3.8503,5.2280,0.1402,0.6695
Basketball,376,pred,0.4668,NaN,NaN,3.8971,5.3085,0.1295,NaN
Basketball,391,pred,0.5077,NaN,NaN,3.8885,5.1905,0.1302,NaN
Basketball,406,pred,0.5077,NaN,NaN,3.9592,5.3561,0.1484,NaN
Basketball,421,pred,0.4845,23.4918,0.9348,4.0377,5.5035,0.1467,0.7398
Basketball,436,pred,0.4668,25.2838,0.9015,3.9567,5.2288,0.1346,0.7365
Basketball,451,pred,0.4845,22.4425,0.9572,3.9217,5.4379,0.1451,0.7453
Basketball,466,pred,0.5720,NaN,NaN,3.8833,5.6277,0.1601,NaN
Basketball,481,pred,0.5720,NaN,NaN,4.1096,5.5242,0.1626,NaN
Basketball,496,pred,0.6183,19.5648,1.4091,3.8563,5.0891,0.1322,NaN
Basketball,511,pred,0.6488,5.4556,2.9939,3.7776,5.3937,0.1323,0.9564
Basketball,526,pred,0.6587,22.4557,0.9098,3.9485,5.0944,0.1707,0.7477
Basketball,541,pred,0.6587,31.9104,0.8186,4.0410,4.7401,0.1310,0.6205
Basketball,556,pred,0.6218,17.9291,0.9769,3.7081,4.6928,0.1260,0.8669
Basketball,571,pred,0.6218,26.1129,0.8940,3.8478,5.1736,0.1436,0.6684
Basketball,586,pred,0.5720,NaN,NaN,3.8417,4.9679,0.1321,NaN
Basketball,601,pred,0.5961,22.7308,0.9314,3.9091,4.9390,0.1509,0.7749
Basketball,616,pred,0.6492,21.7574,0.9290,3.7838,4.5812,0.1318,0.7097
Basketball,631,pred,0.6183,16.7329,1.0016,4.0494,5.0155,0.1424,0.7954
Basketball,646,pred,0.5927,NaN,NaN,3.8939,4.5364,0.1251,NaN
Basketball,661,pred,0.6218,NaN,NaN,4.1742,6.0803,0.1836,NaN
Basketball,676,pred,0.5961,20.3601,0.9786,3.9547,5.1460,0.1621,0.6885
Basketball,691,pred,0.6218,NaN,NaN,4.0025,5.3349,0.1680,NaN
Basketball,706,pred,0.6785,14.4732,1.0517,3.8754,5.0123,0.1624,0.7965
Basketball,721,pred,0.7209,14.3665,1.1503,4.3935,5.7418,0.1891,NaN
Biker,1,gt,1.0000,NaN,NaN,4.6292,5.8363,0.3029,NaN
Biker,16,pred,0.7550,NaN,NaN,4.5972,6.0816,0.2716,NaN
Biker,31,pred,0.5111,NaN,NaN,4.6143,5.9140,0.2404,NaN
Biker,46,pred,0.3636,NaN,NaN,4.2472,5.5680,0.1611,NaN
Biker,61,pred,0.2989,NaN,NaN,4.3270,5.6021,0.1442,NaN
Biker,76,pred,0.0000,NaN,NaN,4.0494,4.0832,0.1786,NaN
Biker,91,pred,0.0000,NaN,NaN,4.5641,3.6761,0.1161,NaN
Biker,106,pred,0.0000,NaN,NaN,4.5269,3.9181,0.1429,NaN
Biker,121,pred,0.0000,NaN,NaN,4.5441,4.0842,0.1250,NaN
Biker,136,pred,0.0000,NaN,NaN,4.2809,4.1459,0.1667,NaN
Bird2,1,gt,1.0000,42.4155,0.8090,2.9537,4.1404,0.1380,0.5551
Bird2,16,pred,0.8080,31.0808,0.8651,3.0173,4.3212,0.1222,0.6841
Bird2,31,pred,0.8485,25.0843,0.8835,2.8857,4.1458,0.1144,0.5851
Bird2,46,pred,0.7062,25.5972,0.9267,2.8671,4.4004,0.0923,0.6503
Bird2,61,pred,0.3109,42.7084,0.7931,2.8128,4.5971,0.1236,0.5450
Bird2,76,pred,0.3328,48.5226,0.7104,2.4433,3.9407,0.0846,0.6520
Bird2,91,pred,0.3505,NaN,NaN,2.7950,4.4021,0.1046,NaN
BlurBody,1,gt,1.0000,39.0933,0.8644,2.2057,5.0828,0.0629,0.7124
