sequence,object_type,object_category,primary_challenge,difficulty,condition,severity,conf_thr,retention,retention_anyclass,mean_iou,mean_conf,det_per_frame,ref_objects
Basketball,person,person,background_clutter,hard,motion_blur,0,0.05,1.0,1.0,1.0,0.527,45.374,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.1,1.0,1.0,1.0,0.527,27.44,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.15,1.0,1.0,1.0,0.527,20.857,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.2,1.0,1.0,1.0,0.527,17.484,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.25,1.0,1.0,1.0,0.527,15.264,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.3,0.8762,0.8762,1.0,0.5626,13.374,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.35,0.7423,0.7423,1.0,0.6057,11.33,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.4,0.6537,0.6537,1.0,0.6371,9.978,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.45,0.5868,0.5868,1.0,0.6613,8.956,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.5,0.5068,0.5068,1.0,0.691,7.736,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.55,0.4377,0.4377,1.0,0.7171,6.681,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.6,0.365,0.365,1.0,0.7452,5.571,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.65,0.3002,0.3002,1.0,0.7704,4.582,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.7,0.2361,0.2361,1.0,0.797,3.604,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.75,0.1821,0.1821,1.0,0.8183,2.78,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.8,0.108,0.108,1.0,0.8477,1.648,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.85,0.0482,0.0482,1.0,0.8758,0.736,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.9,0.0065,0.0065,1.0,0.9098,0.099,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,0.95,0.0,0.0,0.0,0.0,0.0,1389
Basketball,person,person,background_clutter,hard,motion_blur,0,1.0,0.0,0.0,0.0,0.0,0.0,1389
Basketball,person,person,background_clutter,hard,motion_blur,3,0.05,0.9878,0.9928,0.9534,0.5452,44.648,1389
