frame,yolo11n.pt,yolo11s.pt,yolov8s-oiv7.pt,yolov8s-worldv2.pt
0,0,0,0,0
2,0,0,0,0
4,0,0,0,0
6,0,0,1,0
8,0,0,1,0
10,0,0,1,0
12,0,0,1,0
14,0,0,0,1
16,1,1,1,1
18,1,1,1,1
20,1,1,1,1
22,1,1,1,1
24,1,1,1,1
26,1,2,1,1
28,1,1,1,1
30,1,1,1,1
32,1,1,1,1
34,1,1,1,1
36,1,1,1,1
38,1,1,1,1
40,1,1,1,1
42,1,1,1,1
44,1,1,1,1
46,1,1,1,1
48,1,1,1,1
50,1,1,1,1
52,1,1,1,1
54,1,1,1,1
56,1,1,1,1
58,1,1,1,1
60,1,1,1,1
62,1,1,1,1
64,1,1,1,1
66,1,1,1,1
68,1,1,1,1
70,1,1,1,1
72,2,1,1,1
74,2,1,1,1
76,2,1,1,1
78,1,1,1,1
80,1,1,1,1
82,2,1,0,1
84,1,1,0,1
86,0,1,0,0
88,0,0,0,0
90,0,0,0,0
92,0,0,0,0
94,0,0,0,0
96,0,0,0,0
98,0,0,0,0
100,0,0,0,0
102,0,0,0,0
104,0,0,0,0
106,0,0,0,0
108,0,0,0,0
110,0,0,0,0
112,0,0,0,0
114,0,0,1,0
116,0,0,1,0
118,0,0,0,0
120,0,0,0,0
122,0,0,0,0
124,0,0,0,0
126,0,0,0,0
128,0,0,0,0
130,0,0,1,0
132,0,0,0,0
134,0,0,0,0
136,0,0,0,0
138,0,0,1,0
140,0,0,1,0
142,0,0,1,0
144,0,0,1,0
146,0,0,0,0
148,0,0,0,0
150,1,0,1,0
152,0,0,1,0
154,0,0,0,0
156,0,0,0,0
158,0,0,0,0
160,0,0,0,0
162,0,0,0,0
164,0,0,0,0
166,0,0,0,0
168,0,0,0,0
170,0,1,0,0
172,1,1,0,0
174,1,2,1,1
176,0,1,1,1
178,0,1,1,1
180,0,1,1,1
182,1,1,1,1
184,0,1,1,1
186,0,2,1,1
188,0,1,1,3
190,0,1,1,1
192,1,1,1,1
194,1,1,1,1
196,1,1,1,1
198,1,1,1,1
