frame,n_dets_high,n_dets_low,n_active,n_lost,n_new,n_removed_total,ids_active
0,10,0,10,0,10,0,1 2 3 4 5 6 7 8 9 10
1,10,0,8,2,0,0,1 2 3 4 5 6 9 10
2,11,0,9,1,1,2,1 2 3 4 5 6 7 9 10
3,12,0,6,4,0,4,1 2 3 5 6 9
4,8,0,6,4,1,10,1 2 3 5 6 7
5,9,0,7,3,1,12,1 2 3 5 6 7 9
6,11,0,7,4,1,13,2 3 5 6 7 9 23
7,9,0,7,4,1,17,1 2 3 5 6 9 23
8,14,0,10,2,3,18,1 2 3 5 6 7 9 10 23 30
9,12,0,10,3,1,21,1 2 3 5 6 7 9 23 30 31
10,13,0,11,3,2,22,1 2 3 5 6 7 10 23 30 31 35
11,12,0,8,6,1,24,2 3 5 6 9 23 31 35
12,10,0,9,6,2,27,2 3 5 6 23 30 31 35 41
13,10,0,9,6,0,28,2 3 5 6 23 30 31 35 41
14,8,0,7,9,1,28,2 3 6 30 35 41 44
15,9,0,8,8,1,29,2 3 6 30 31 35 41 44
16,12,0,8,8,1,30,2 3 6 10 31 35 41 44
17,8,0,6,10,1,34,3 6 9 31 35 44
18,11,0,10,6,4,36,2 3 5 6 7 9 10 31 35 44
19,6,0,6,10,0,37,6 9 10 31 35 44
20,10,0,7,9,2,37,5 6 10 23 31 35 44
21,9,0,6,11,2,39,3 5 6 35 44 56
22,11,0,9,10,4,40,3 5 10 23 35 44 56 57 58
23,9,0,9,10,0,42,3 5 10 23 35 44 56 57 58
24,10,0,9,10,0,42,3 5 10 23 35 44 56 57 58
25,9,0,9,10,0,43,3 5 10 23 35 44 56 57 58
26,8,0,8,11,0,43,3 5 23 35 44 56 57 58
27,9,0,8,11,0,43,3 5 23 35 44 56 57 58
28,11,0,9,10,1,44,3 5 7 23 35 44 56 57 58
29,11,0,9,10,0,46,3 5 7 23 35 44 56 57 58
30,13,0,10,9,1,48,3 5 7 23 31 35 44 56 57 58
31,13,0,11,9,1,51,3 5 7 23 31 35 44 56 57 58 69
32,11,0,9,10,0,54,3 5 7 23 35 44 56 57 58
33,12,0,9,10,1,57,3 5 7 23 31 35 44 56 58
34,10,0,7,11,0,61,3 5 7 23 35 44 58
35,11,0,9,9,2,64,3 5 7 23 35 44 56 57 58
36,12,0,8,10,0,66,3 5 7 23 35 44 56 58
37,12,0,9,10,1,69,3 5 7 23 35 44 56 58 83
38,9,0,9,12,2,70,5 7 23 35 44 58 83 88 89
39,11,0,10,11,1,70,3 5 7 23 35 44 58 83 88 89
40,9,0,9,12,1,71,3 5 7 31 35 44 58 88 89
41,14,0,13,8,4,72,3 5 7 9 10 23 31 35 44 58 83 88 89
42,14,0,12,8,0,74,3 5 7 9 10 23 35 44 58 83 88 89
43,11,0,10,10,0,76,5 7 9 10 23 35 44 58 88 89
44,11,0,10,10,0,77,5 7 9 10 23 35 44 58 88 89
45,12,0,11,10,1,77,5 7 9 10 23 35 44 58 88 89 95
46,12,0,10,11,0,79,5 7 9 23 35 44 58 88 89 95
47,13,0,10,10,1,83,5 7 10 23 35 44 58 88 89 95
48,15,0,12,9,3,85,5 7 9 10 23 44 58 88 89 95 99 101
49,16,0,12,10,1,88,5 7 9 23 44 58 88 89 95 99 101 104
50,14,0,14,8,2,92,5 7 9 10 23 44 58 88 89 95 99 101 104 105
51,14,0,13,9,0,92,5 7 9 10 44 58 88 89 95 99 101 104 105
52,12,0,12,10,0,94,5 7 10 44 58 88 89 95 99 101 104 105
53,13,0,11,10,0,95,5 7 44 58 88 89 95 99 101 104 105
54,12,0,11,11,1,96,5 7 44 58 88 89 99 101 104 105 110
55,14,0,12,10,1,97,5 7 10 44 58 88 89 99 101 104 105 110
56,16,0,12,10,1,99,5 7 9 10 44 58 88 89 99 101 105 110
57,14,0,12,11,1,102,5 7 10 44 58 88 89 99 101 105 110 115
58,15,0,11,13,1,103,5 7 10 44 58 88 89 99 101 105 120
59,14,0,11,14,1,106,5 7 10 44 58 89 99 101 105 120 122
60,13,0,12,13,1,109,5 7 10 44 58 89 95 99 101 105 120 122
61,14,0,12,13,0,110,5 7 10 44 58 89 95 99 101 105 120 122
62,15,0,12,13,0,113,5 7 10 44 58 89 95 99 101 105 120 122
63,16,0,12,12,0,117,5 7 10 44 58 89 95 99 101 105 120 122
64,10,0,9,15,0,121,5 7 10 44 58 89 99 101 122
65,11,0,9,15,1,122,5 7 10 44 58 89 99 101 105
66,14,0,11,13,2,125,5 7 10 44 58 89 95 99 101 105 122
67,13,0,12,13,2,127,5 7 10 44 58 89 95 99 101 122 141 142
68,14,0,14,11,2,129,5 7 10 44 58 89 95 99 101 105 120 122 141 142
69,12,0,12,12,0,130,5 7 10 44 58 89 95 99 101 122 141 142
70,15,0,13,11,1,130,5 7 10 44 58 89 95 99 101 105 122 141 142
71,12,0,12,12,0,132,5 7 10 44 58 89 95 99 101 122 141 142
72,14,0,13,11,1,133,5 7 10 44 58 89 95 99 101 120 122 141 142
73,13,0,12,11,0,137,5 7 10 44 58 89 95 99 101 122 141 142
74,16,0,12,9,0,140,5 7 10 44 58 89 95 99 101 122 141 142
