frame,n_dets_high,n_dets_low,n_active,n_lost,n_new,n_removed_total,ids_active
0,0,0,0,0,0,0,
1,0,0,0,0,0,0,
2,0,0,0,0,0,0,
3,0,0,0,0,0,0,
4,0,0,0,0,0,0,
5,0,0,0,0,0,0,
6,0,0,0,0,0,0,
7,0,0,0,0,0,0,
8,0,0,0,0,0,0,
9,0,0,0,0,0,0,
10,0,0,0,0,0,0,
11,0,0,0,0,0,0,
12,0,0,0,0,0,0,
13,0,0,0,0,0,0,
14,0,0,0,0,0,0,
15,0,0,0,0,0,0,
16,0,0,0,0,0,0,
17,1,0,0,0,0,0,
18,0,2,0,0,0,1,
19,1,1,0,0,0,1,
20,2,0,1,0,1,1,2
21,1,0,1,0,0,2,2
22,1,0,1,0,0,2,2
23,1,0,1,0,0,2,2
24,1,0,1,0,0,2,2
25,1,1,1,0,0,2,2
26,1,0,1,0,0,2,2
27,1,0,1,0,0,2,2
28,1,0,1,0,0,2,2
29,1,0,1,0,0,2,2
30,1,0,1,0,0,2,2
31,1,0,1,0,0,2,2
32,1,0,1,0,0,2,2
33,1,0,1,0,0,2,2
34,1,0,1,0,0,2,2
35,1,0,1,0,0,2,2
36,1,0,1,0,0,2,2
37,1,0,1,0,0,2,2
38,1,1,0,1,0,2,
39,1,0,1,0,1,3,2
40,1,0,1,0,0,3,2
41,1,0,1,0,0,3,2
42,1,0,1,0,0,3,2
43,1,0,1,0,0,3,2
44,1,0,1,0,0,3,2
45,1,0,1,0,0,3,2
46,1,0,1,0,0,3,2
47,1,0,1,0,0,3,2
48,1,0,1,0,0,3,2
49,2,0,1,0,0,3,2
50,2,0,2,0,1,3,2 5
51,2,0,2,0,0,3,2 5
52,1,0,1,1,0,3,2
53,1,0,1,1,0,3,2
54,1,0,1,1,0,3,2
55,1,0,1,1,0,3,2
56,1,0,1,1,0,3,2
57,1,0,1,1,0,3,2
58,1,0,1,1,0,3,2
59,1,0,1,1,0,3,2
